pool,ipcc_pool_name,ipcc_pool
fast_ag,litter,litter
fast_bg,dead_wood,dead_wood
hw_branch_snag,dead_wood,dead_wood
hw_coarse,belowground_biomass,belgr_bmass
hw_fine,belowground_biomass,belgr_bmass
hw_foliage,aboveground_biomass,abogr_bmass
hw_merch,aboveground_biomass,abogr_bmass
hw_other,aboveground_biomass,abogr_bmass
hw_stem_snag,dead_wood,dead_wood
hw_sub_merch,aboveground_biomass,abogr_bmass
kf2,NA,NA
kf3,NA,NA
kf4,NA,NA
kf5,NA,NA
kf6,NA,NA
medium,dead_wood,dead_wood
peat,NA,NA
slow_ag,litter,litter
slow_bg,soil_organic_matter,soil_dom
sw_branch_snag,dead_wood,dead_wood
sw_coarse,belowground_biomass,belgr_bmass
sw_fine,belowground_biomass,belgr_bmass
sw_foliage,aboveground_biomass,abogr_bmass
sw_merch,aboveground_biomass,abogr_bmass
sw_other,aboveground_biomass,abogr_bmass
sw_stem_snag,dead_wood,dead_wood
sw_sub_merch,aboveground_biomass,abogr_bmass
v_fast_ag,litter,litter
v_fast_bg,soil_organic_matter,soil_dom
black_carbon,NA,NA
